RevenueType,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total revenue,"34,406,665","9,871,576","45,234,078","23,867,218","398,531,883","37,530,888","37,368,326","10,127,416","102,606,004","54,843,065","16,656,724","10,988,776","94,173,439","48,665,383","25,705,749","22,580,624","35,751,067","35,598,520","10,364,413","49,849,656","71,025,642","76,127,715","50,987,886","22,485,805","35,838,438","8,806,393","11,830,605","19,696,755","9,204,324","83,936,536","22,459,619","206,088,427","64,418,590","9,331,862","90,393,665","27,318,112","41,743,810","108,063,128","9,762,346","34,315,088","5,060,715","37,951,836","161,500,128","23,770,095","7,137,944","62,664,788","61,863,233","14,862,565","43,582,163","6,503,822"
General revenue,"30,779,818","8,699,894","40,422,551","22,133,182","331,185,972","31,988,226","32,147,127","9,478,368","92,856,198","47,366,852","14,787,587","9,424,336","77,269,469","45,516,264","22,774,206","20,173,308","30,768,780","30,515,491","9,293,201","43,893,095","61,336,086","67,893,385","45,588,233","19,731,475","31,306,201","7,364,684","10,905,684","16,744,176","7,575,136","70,557,854","20,535,448","178,177,702","59,186,965","8,511,319","72,528,812","23,938,407","34,935,716","92,953,389","8,544,384","28,763,745","4,445,211","32,691,169","145,501,404","21,266,690","6,581,155","56,334,451","51,725,020","13,612,054","38,678,565","5,529,665"
Intergovernmental revenue,"11,406,585","3,703,979","16,861,452","7,896,933","102,470,586","9,087,124","8,786,640","2,564,999","29,283,126","15,788,655","3,281,378","3,106,338","20,974,021","15,618,221","6,382,227","4,347,052","12,259,406","14,198,154","3,158,558","13,455,977","17,753,608","22,628,665","11,771,283","8,345,388","12,012,234","3,226,125","3,308,745","5,416,022","2,851,047","18,580,697","7,525,267","67,409,562","19,607,962","1,795,231","25,201,468","7,395,887","11,024,750","31,306,266","2,931,899","9,617,239","1,525,451","11,933,633","50,052,351","4,810,683","2,060,730","12,220,346","13,953,720","5,168,471","10,514,723","2,291,076"
Taxes,"11,782,220","1,780,911","18,163,903","10,217,866","187,638,267","15,869,834","19,131,944","4,596,190","45,017,095","24,723,046","8,207,524","4,902,173","45,453,840","22,968,677","10,583,869","10,030,158","13,049,436","11,870,499","4,674,441","23,605,971","31,806,339","30,270,130","28,175,795","8,288,883","13,181,385","3,168,557","5,754,834","9,744,547","2,934,358","38,449,650","7,427,622","85,368,973","29,324,429","4,969,744","30,739,230","10,787,693","14,184,891","43,132,450","3,612,575","11,221,043","1,940,415","16,450,938","63,314,370","9,918,773","3,493,747","27,076,451","27,992,437","5,792,317","19,871,532","2,110,704"
General sales,"3,116,142",,"8,358,260","3,573,456","41,539,499","3,375,058","4,589,035",,"28,006,498","6,250,310","3,808,718","1,908,887","12,013,541","8,087,116","3,404,630","3,334,645","3,984,753","3,739,549","1,613,210","4,888,693","6,834,003","9,613,796","6,205,621","3,731,772","3,732,101",,"1,966,358","5,500,442",,"10,846,611","2,863,208","15,372,529","8,376,578","1,053,147","12,709,323","3,071,467",,"11,747,314","1,120,139","3,463,666","1,144,682","9,469,967","38,123,052","2,832,742","412,300","5,457,799","16,647,080","1,368,000","5,695,550","770,241"
Selective sales,"2,713,061","278,823","2,085,528","1,347,012","18,093,378","2,613,477","3,198,853","602,601","8,485,578","3,259,155","1,253,416","611,377","7,520,749","4,493,766","1,453,235","1,189,079","2,326,479","2,782,780","714,523","5,007,238","2,723,947","4,733,598","4,963,954","1,501,171","1,817,109","663,096","613,234","2,335,181","961,594","4,992,331","821,096","11,857,986","4,426,315","510,485","6,663,341","1,583,933","1,870,274","10,392,843","757,785","1,777,477","469,982","2,883,746","15,782,315","1,185,116","753,101","3,967,333","4,726,647","1,422,535","2,798,476","183,664"
License taxes,"551,815","159,757","580,141","403,627","11,041,442","697,149","411,470","1,785,406","2,341,679","720,874","280,311","419,487","2,779,724","767,938","990,985","433,280","523,696","438,495","291,044","912,788","1,199,646","2,030,560","1,495,685","512,541","628,550","388,817","184,373","700,863","462,125","1,701,016","332,445","1,807,412","2,336,658","228,684","1,977,268","1,004,786","1,312,328","2,773,590","121,006","648,504","273,497","1,909,972","3,643,272","353,455","126,071","939,377","1,746,818","216,342","1,118,129","208,741"
Individual income tax,"4,194,844",,"5,357,251","3,012,491","100,079,921","8,171,546","8,445,783","1,741,418",,"12,176,943","2,568,259","1,668,776","18,762,174","8,852,914","4,098,020","3,778,453","4,629,057","3,833,235","1,709,069","10,067,080","17,150,964","10,150,323","12,400,060","1,968,485","6,587,919","1,412,863","2,545,680",,"122,622","15,903,287","1,590,271","48,087,389","13,258,890","415,274","9,313,265","3,565,449","9,847,141","13,517,069","1,376,495","4,759,113",,"201,900",,"4,978,629","860,639","14,917,745",,"2,096,807","8,759,680",
Corporate income tax,"684,296","332,520","514,264","533,915","13,792,519","794,659","2,065,833","289,974","3,114,711","1,271,270","190,484","284,961","3,822,382","752,352","535,594","486,421","762,700","495,388","252,867","1,301,050","2,946,667","1,142,671","1,711,659","494,811","369,010","185,097","423,738",,"831,765","3,909,308","202,367","4,296,595","836,415","146,523","7,306","302,878","910,929","2,962,361","176,463","396,207","46,295","1,697,469",,"522,382","149,832","1,247,128",,"198,799","1,304,720",
Other taxes,"522,062","1,009,811","1,268,459","1,347,365","3,091,508","217,945","420,970","176,791","3,068,629","1,044,494","106,336","8,685","555,270","14,591","101,405","808,280","822,751","581,052","93,728","1,429,122","951,112","2,599,182","1,398,816","80,103","46,696","518,684","21,451","1,208,061","556,252","1,097,097","1,618,235","3,947,062","89,573","2,615,631","68,727","1,259,180","244,219","1,739,273","60,687","176,076","5,959","287,884","5,765,731","46,449","1,191,804","547,069","4,871,892","489,834","194,977","948,058"
