State,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,TotalFatalities
United States,Highway Fatalities,"32,999","32,479","33,782","32,893","32,744","35,484","37,806","37,473","36,835","36,355","39,007","42,939","430,796"
United States,Passenger Car Fatalities,"12,491","12,014","12,361","12,037","11,947","12,763","13,508","13,477","12,888","12,355","12,628","13,529","151,998"
United States,SUV Fatalities,"3,942","3,884","3,885","3,831","3,800","4,213","4,462","4,610","4,554","4,727","6,015","6,961","54,884"
United States,Pickup Truck Fatalities,"4,486","4,270","4,343","4,175","4,249","4,471","4,470","4,335","4,267","4,213","4,333","4,757","52,369"
United States,Van Fatalities,"1,346","1,128","1,167","1,142","1,021","1,128","1,240","1,175","1,081","1,025",938,"1,078","13,469"
United States,Other Light Truck Fatalities,8,20,23,38,33,66,107,66,55,52,0,0,468
United States,Motorcycle Fatalities,"4,518","4,630","4,986","4,692","4,594","5,029","5,337","5,226","5,038","5,044","5,506","5,932","60,532"
United States,Bus Fatalities,44,55,39,54,44,49,64,43,44,35,19,14,504
United States,Large Truck Fatalities,530,640,697,695,656,665,815,878,890,893,822,"1,008","9,189"
United States,Pedalcyclist Fatalities,623,682,734,749,729,829,853,806,871,859,948,966,"9,649"
United States,Pedestrian Fatalities,"4,302","4,457","4,818","4,779","4,910","5,494","6,080","6,075","6,374","6,272","6,565","7,388","67,514"
United States,Other Nonoccupant Fatalities,197,211,242,211,241,249,269,248,205,277,251,269,"2,870"
United States,Other Vehicle Fatalities,524,499,502,511,557,544,610,546,553,591,976,"1,011","7,424"
United States,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,Highway Fatalities,862,895,865,853,820,850,"1,083",948,953,930,934,983,"10,976"
Alabama,Passenger Car Fatalities,376,389,370,357,337,355,416,395,411,362,371,368,"4,507"
Alabama,SUV Fatalities,125,112,112,137,116,111,166,143,136,126,166,182,"1,632"
Alabama,Pickup Truck Fatalities,153,154,140,151,150,156,165,145,149,160,152,131,"1,806"
Alabama,Van Fatalities,33,27,26,20,15,23,24,27,19,21,16,40,291
Alabama,Other Light Truck Fatalities,2,1,0,1,0,3,9,1,1,4,0,0,22
Alabama,Motorcycle Fatalities,86,98,97,80,65,67,112,79,82,93,78,77,"1,014"
Alabama,Bus Fatalities,0,1,0,3,0,1,0,0,2,1,0,0,8
Alabama,Large Truck Fatalities,9,16,17,25,15,16,39,20,23,20,30,23,253
Alabama,Pedalcyclist Fatalities,6,5,9,6,9,9,3,7,9,6,10,7,86
Alabama,Pedestrian Fatalities,61,79,77,59,96,98,120,119,107,119,101,128,"1,164"
Alabama,Other Nonoccupant Fatalities,0,2,2,0,1,0,3,5,6,0,1,2,22
Alabama,Other Vehicle Fatalities,10,9,17,12,15,10,25,9,11,17,8,25,168
Alabama,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Highway Fatalities,56,72,59,51,73,65,84,79,80,67,64,67,817
Alaska,Passenger Car Fatalities,19,14,23,10,19,8,16,22,15,17,14,16,193
Alaska,SUV Fatalities,9,13,6,11,7,9,18,11,13,18,19,11,145
Alaska,Pickup Truck Fatalities,8,18,8,6,14,14,18,12,10,13,6,11,138
Alaska,Van Fatalities,2,2,2,0,2,6,6,2,7,0,0,1,30
Alaska,Other Light Truck Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Motorcycle Fatalities,9,10,9,9,8,11,6,6,12,6,4,6,96
Alaska,Bus Fatalities,0,0,0,0,1,0,0,0,0,0,0,0,1
Alaska,Large Truck Fatalities,0,0,0,2,1,0,2,1,2,3,2,1,14
Alaska,Pedalcyclist Fatalities,0,2,1,1,3,0,1,1,0,2,2,2,15
Alaska,Pedestrian Fatalities,6,9,8,6,14,12,12,14,14,6,13,16,130
Alaska,Other Nonoccupant Fatalities,0,0,1,0,0,0,1,2,1,1,0,2,8
Alaska,Other Vehicle Fatalities,3,4,1,6,4,5,5,8,6,2,4,2,50
Alaska,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,Highway Fatalities,759,826,821,849,773,897,952,998,"1,011",979,"1,053","1,180","11,098"
Arizona,Passenger Car Fatalities,195,200,222,209,216,254,265,252,284,239,280,307,"2,923"
Arizona,SUV Fatalities,101,121,124,100,81,105,113,106,107,124,127,173,"1,382"
Arizona,Pickup Truck Fatalities,113,97,100,116,74,103,101,111,101,85,75,102,"1,178"
Arizona,Van Fatalities,23,20,24,24,20,33,30,21,17,26,34,20,292
Arizona,Other Light Truck Fatalities,0,0,0,2,1,0,2,1,3,2,0,0,11
Arizona,Motorcycle Fatalities,91,136,141,151,130,137,146,162,156,175,161,150,"1,736"
Arizona,Bus Fatalities,6,1,0,0,1,0,0,2,0,1,0,0,11
Arizona,Large Truck Fatalities,5,16,11,11,9,17,16,19,17,12,18,27,178
Arizona,Pedalcyclist Fatalities,19,23,18,31,29,28,31,32,24,30,33,45,343
