State,Measures,Year of Year,Values
United States,Highway vehicle-miles traveled (millions),2021,3153957.276
United States,Licensed drivers,2021,232781797
United States,Highway vehicle-miles traveled (millions),2020,2917383.137
United States,Licensed drivers,2020,228195802.4
United States,Highway vehicle-miles traveled (millions),2019,3276481.684
United States,Licensed drivers,2019,228679719.2
United States,Highway vehicle-miles traveled (millions),2018,3255346.658
United States,Licensed drivers,2018,227548895
United States,Person miles (millions),2017,7940574
United States,Person trips (millions),2017,742304
United States,Persons traveling (thousands),2017,603198
United States,Highway vehicle-miles traveled (millions),2017,3225258.237
United States,Licensed drivers,2017,225346257
United States,Highway vehicle-miles traveled (millions),2016,3188379
United States,Licensed drivers,2016,221711918
United States,Highway vehicle-miles traveled (millions),2015,3104405.552
United States,Licensed drivers,2015,218084465.3
United States,Highway vehicle-miles traveled (millions),2014,3034941.523
United States,Licensed drivers,2014,214092471.7
United States,Highway vehicle-miles traveled (millions),2013,3001529.023
United States,Licensed drivers,2013,212159728
United States,Highway vehicle-miles traveled (millions),2012,2982085.276
United States,Licensed drivers,2012,211814830
United States,Highway vehicle-miles traveled (millions),2011,2963781.977
United States,Licensed drivers,2011,211874649.2
United States,Highway vehicle-miles traveled (millions),2010,2985854.322
United States,Licensed drivers,2010,210114939.3
Alabama,Highway vehicle-miles traveled (millions),2021,79568.58544
Alabama,Licensed drivers,2021,4061837
Alabama,Highway vehicle-miles traveled (millions),2020,67921.49684
Alabama,Licensed drivers,2020,4042900
Alabama,Highway vehicle-miles traveled (millions),2019,71734.62781
Alabama,Licensed drivers,2019,4026151
Alabama,Highway vehicle-miles traveled (millions),2018,71167.20675
Alabama,Licensed drivers,2018,3999057
Alabama,Person miles (millions),2017,158050
Alabama,Person trips (millions),2017,10604
Alabama,Persons traveling (thousands),2017,8932
Alabama,Highway vehicle-miles traveled (millions),2017,70677.2482
Alabama,Licensed drivers,2017,3954378
Alabama,Highway vehicle-miles traveled (millions),2016,69227
Alabama,Licensed drivers,2016,3943082
Alabama,Highway vehicle-miles traveled (millions),2015,67257.00465
Alabama,Licensed drivers,2015,3907038
Alabama,Highway vehicle-miles traveled (millions),2014,65666.60432
Alabama,Licensed drivers,2014,3881542
Alabama,Highway vehicle-miles traveled (millions),2013,65046.48393
Alabama,Licensed drivers,2013,3859403
Alabama,Highway vehicle-miles traveled (millions),2012,64959.17207
Alabama,Licensed drivers,2012,3827522
Alabama,Highway vehicle-miles traveled (millions),2011,64914.37237
Alabama,Licensed drivers,2011,3798552
Alabama,Highway vehicle-miles traveled (millions),2010,64165.14864
Alabama,Licensed drivers,2010,3805751
Alaska,Highway vehicle-miles traveled (millions),2021,5752.18765
Alaska,Licensed drivers,2021,519288
Alaska,Highway vehicle-miles traveled (millions),2020,5305.88855
Alaska,Licensed drivers,2020,518872
Alaska,Highway vehicle-miles traveled (millions),2019,5881.303128
Alaska,Licensed drivers,2019,529281
Alaska,Highway vehicle-miles traveled (millions),2018,5487.319994
Alaska,Licensed drivers,2018,536033
Alaska,Person miles (millions),2017,15978
Alaska,Person trips (millions),2017,1716
Alaska,Persons traveling (thousands),2017,1372
Alaska,Highway vehicle-miles traveled (millions),2017,5518.716307
Alaska,Licensed drivers,2017,534585
Alaska,Highway vehicle-miles traveled (millions),2016,5259
Alaska,Licensed drivers,2016,534585
Alaska,Highway vehicle-miles traveled (millions),2015,5045.390231
Alaska,Licensed drivers,2015,533227
Alaska,Highway vehicle-miles traveled (millions),2014,4856.704008
Alaska,Licensed drivers,2014,531744
Alaska,Highway vehicle-miles traveled (millions),2013,4848.454772
Alaska,Licensed drivers,2013,528873
Alaska,Highway vehicle-miles traveled (millions),2012,4792.081999
Alaska,Licensed drivers,2012,526371
Alaska,Highway vehicle-miles traveled (millions),2011,4593.089397
Alaska,Licensed drivers,2011,521280
Alaska,Highway vehicle-miles traveled (millions),2010,4798.261974
Alaska,Licensed drivers,2010,515239
Arizona,Highway vehicle-miles traveled (millions),2021,73759.95568
Arizona,Licensed drivers,2021,5795216
Arizona,Highway vehicle-miles traveled (millions),2020,65758.27912
Arizona,Licensed drivers,2020,5681495
Arizona,Highway vehicle-miles traveled (millions),2019,70280.64647
Arizona,Licensed drivers,2019,5369210
Arizona,Highway vehicle-miles traveled (millions),2018,66144.51121
Arizona,Licensed drivers,2018,5284970
Arizona,Person miles (millions),2017,228606
Arizona,Person trips (millions),2017,15240
Arizona,Persons traveling (thousands),2017,12764
Arizona,Highway vehicle-miles traveled (millions),2017,65069.57894
Arizona,Licensed drivers,2017,5164966
Arizona,Highway vehicle-miles traveled (millions),2016,65786
Arizona,Licensed drivers,2016,5082305
Arizona,Highway vehicle-miles traveled (millions),2015,65044.85807
Arizona,Licensed drivers,2015,4978762
Arizona,Highway vehicle-miles traveled (millions),2014,62630.73598
Arizona,Licensed drivers,2014,4881801
Arizona,Highway vehicle-miles traveled (millions),2013,60586.17136
Arizona,Licensed drivers,2013,4791450
Arizona,Highway vehicle-miles traveled (millions),2012,60129.35825
Arizona,Licensed drivers,2012,4697579
Arizona,Highway vehicle-miles traveled (millions),2011,59574.9492
Arizona,Licensed drivers,2011,4592398
Arizona,Highway vehicle-miles traveled (millions),2010,59995.1587
Arizona,Licensed drivers,2010,4443647
Arkansas,Highway vehicle-miles traveled (millions),2021,38426.80577
Arkansas,Licensed drivers,2021,2306921
Arkansas,Highway vehicle-miles traveled (millions),2020,33918.76191
Arkansas,Licensed drivers,2020,2153929
Arkansas,Highway vehicle-miles traveled (millions),2019,37099.01982
Arkansas,Licensed drivers,2019,2153929
Arkansas,Highway vehicle-miles traveled (millions),2018,36675.30905
Arkansas,Licensed drivers,2018,2145334
Arkansas,Person miles (millions),2017,59954
Arkansas,Person trips (millions),2017,7260
Arkansas,Persons traveling (thousands),2017,6168
Arkansas,Highway vehicle-miles traveled (millions),2017,36389.32515
Arkansas,Licensed drivers,2017,2417464
Arkansas,Highway vehicle-miles traveled (millions),2016,35755
Arkansas,Licensed drivers,2016,2391103
Arkansas,Highway vehicle-miles traveled (millions),2015,34897.33423
Arkansas,Licensed drivers,2015,2119578
Arkansas,Highway vehicle-miles traveled (millions),2014,34023.96012
Arkansas,Licensed drivers,2014,2111873
Arkansas,Highway vehicle-miles traveled (millions),2013,33493.27431
Arkansas,Licensed drivers,2013,2097201
Arkansas,Highway vehicle-miles traveled (millions),2012,33522.13681
Arkansas,Licensed drivers,2012,2199164
Arkansas,Highway vehicle-miles traveled (millions),2011,32952.94952
Arkansas,Licensed drivers,2011,1956091
Arkansas,Highway vehicle-miles traveled (millions),2010,33504.42526
Arkansas,Licensed drivers,2010,2077806
California,Highway vehicle-miles traveled (millions),2021,310822.7259
California,Licensed drivers,2021,27112595
California,Highway vehicle-miles traveled (millions),2020,299811.6831
California,Licensed drivers,2020,27005302
California,Highway vehicle-miles traveled (millions),2019,340836.2515
California,Licensed drivers,2019,27213650
California,Highway vehicle-miles traveled (millions),2018,348795.7135
California,Licensed drivers,2018,27039400
California,Person miles (millions),2017,957212
California,Person trips (millions),2017,88002
California,Persons traveling (thousands),2017,73264
California,Highway vehicle-miles traveled (millions),2017,343862.1124
California,Licensed drivers,2017,26777132
California,Highway vehicle-miles traveled (millions),2016,340115
California,Licensed drivers,2016,26199436
California,Highway vehicle-miles traveled (millions),2015,335538.5566
California,Licensed drivers,2015,25532920
California,Highway vehicle-miles traveled (millions),2014,332857.198
California,Licensed drivers,2014,24813346
California,Highway vehicle-miles traveled (millions),2013,329534.133
California,Licensed drivers,2013,24390236
California,Highway vehicle-miles traveled (millions),2012,326271.6506
California,Licensed drivers,2012,24200997
California,Highway vehicle-miles traveled (millions),2011,320783.9054
California,Licensed drivers,2011,23856600
California,Highway vehicle-miles traveled (millions),2010,322849.3982
California,Licensed drivers,2010,23753441
Colorado,Highway vehicle-miles traveled (millions),2021,53839.70626
Colorado,Licensed drivers,2021,4411587
Colorado,Highway vehicle-miles traveled (millions),2020,48642.0466
Colorado,Licensed drivers,2020,4299447
Colorado,Highway vehicle-miles traveled (millions),2019,54633.55451
Colorado,Licensed drivers,2019,4235384
Colorado,Highway vehicle-miles traveled (millions),2018,53953.6075
Colorado,Licensed drivers,2018,4244713
Colorado,Person miles (millions),2017,140264
Colorado,Person trips (millions),2017,13446
Colorado,Persons traveling (thousands),2017,9432
Colorado,Highway vehicle-miles traveled (millions),2017,53382.10272
Colorado,Licensed drivers,2017,4156138
Colorado,Highway vehicle-miles traveled (millions),2016,52152
Colorado,Licensed drivers,2016,4066580
Colorado,Highway vehicle-miles traveled (millions),2015,50437.33835
Colorado,Licensed drivers,2015,3974521
Colorado,Highway vehicle-miles traveled (millions),2014,48985.14118
Colorado,Licensed drivers,2014,3883362
Colorado,Highway vehicle-miles traveled (millions),2013,46968.08474
Colorado,Licensed drivers,2013,3837488
Colorado,Highway vehicle-miles traveled (millions),2012,46768.77109
Colorado,Licensed drivers,2012,3807673
Colorado,Highway vehicle-miles traveled (millions),2011,46606.26373
Colorado,Licensed drivers,2011,3669816
Colorado,Highway vehicle-miles traveled (millions),2010,46939.92729
Colorado,Licensed drivers,2010,3779273
Connecticut,Highway vehicle-miles traveled (millions),2021,28988.54262
Connecticut,Licensed drivers,2021,2606396
Connecticut,Highway vehicle-miles traveled (millions),2020,29844.93826
Connecticut,Licensed drivers,2020,2508670
Connecticut,Highway vehicle-miles traveled (millions),2019,31600.84836
Connecticut,Licensed drivers,2019,2608061
Connecticut,Highway vehicle-miles traveled (millions),2018,31595.70533
Connecticut,Licensed drivers,2018,2605612
Connecticut,Person miles (millions),2017,63498
Connecticut,Person trips (millions),2017,7208
Connecticut,Persons traveling (thousands),2017,5904
Connecticut,Highway vehicle-miles traveled (millions),2017,31500.06154
Connecticut,Licensed drivers,2017,2586994
Connecticut,Highway vehicle-miles traveled (millions),2016,31639
Connecticut,Licensed drivers,2016,2611007
Connecticut,Highway vehicle-miles traveled (millions),2015,31591.79366
Connecticut,Licensed drivers,2015,2566673
Connecticut,Highway vehicle-miles traveled (millions),2014,31190.31408
Connecticut,Licensed drivers,2014,2542588
Connecticut,Highway vehicle-miles traveled (millions),2013,30941.1856
Connecticut,Licensed drivers,2013,2534090
Connecticut,Highway vehicle-miles traveled (millions),2012,31269.36372
Connecticut,Licensed drivers,2012,2485708
Connecticut,Highway vehicle-miles traveled (millions),2011,31197.24686
Connecticut,Licensed drivers,2011,2986267
Connecticut,Highway vehicle-miles traveled (millions),2010,31294.41665
Connecticut,Licensed drivers,2010,2934576
Delaware,Highway vehicle-miles traveled (millions),2021,10152.42445
Delaware,Licensed drivers,2021,848504
Delaware,Highway vehicle-miles traveled (millions),2020,8345.22961
Delaware,Licensed drivers,2020,829226
Delaware,Highway vehicle-miles traveled (millions),2019,10245.15892
Delaware,Licensed drivers,2019,812529
Delaware,Highway vehicle-miles traveled (millions),2018,10179.38381
